,,,,,,,,,
,,,,Numeric value,,,,,
,,,,Supporting text,,,,,
,,,,Animated Counters: Number animation on scroll.,,,,,
,,,“Why Are They Supporting This Movement?” Section,Header Section with Title,Content would be added from CMS,2,1,,
,,,,Supporting description text.,,,,,
,,,,Quote/testimonial display with author name / designation.,,,,,
,,,,Image associated in the section.,,,,,
,,,Funding & Transparency Information Section,Display funding and Transparency section in a card-based grid layout. Each objective card contains:,"Add/edit/delete functionality per list item.
Reorder list item dynamically.",2,1,,
,,,,Icon,,,,,
,,,,Title,,,,,
,,,,Description,,,,,
,,,,Bullet points (optional),,,,,
,,,“Learn More About Pocket Sergeant” CTA Section,Title for section,Content would be added from CMS,3,2,,
,,,,Description,,,,,
,,,,Display multiple action cards such as:,,,,,
,,,,Icon/image,,,,,
,,,,Title,,,,,
,,,,Description,,,,,
,,,,Button clicking upon which user would be redirected to external link.,,,,,
,,,,,,,,,Maybe add somewhere I can add links / hokding images to the Pocket Sergeant Podcast too on this page.
,,,,,,,,,
,,The Issue,,,,,,,
,,,Hero Banner,Large full-width banner image/background.,Content would be added from CMS,1,1,,
,,,,Main heading text.,,,,,
,,,,Supporting description text.,,,,,
,,,“The Facts” Statistics Section,Display issue-related statistics in card/grid layout. Each fact card includes:,"Add/edit/delete functionality per list item.
Reorder list item dynamically.",2,2,,
,,,,Icon,,,,,
,,,,Statistic number/value,,,,,
,,,,Supporting text,,,,,
,,,,Additional explanation,,,,,
,,,,Animated Counter Support: Count-up number animation on scroll.,,,,,
,,,“What’s Going Wrong?” Awareness Cards Section,Display key problem areas in card/grid layout. Each problem area consist:,"Add/edit/delete functionality per list item.
Reorder list item dynamically.",3,2,,
,,,,Background image.,,,,,
,,,,Overlay effect.,,,,,
,,,,Icon.,,,,,
,,,,Title.,,,,,
,,,,Description.,,,,,
,,,“The Impact” Informational Section,Heading Title,Content would be added from CMS,2,2,,
,,,,Text-based informational section.,,,,,
,,,,Bullet-point style impact listing.,,,,,
,,,,Icon-supported list items.,,,,,
,,,“Change Is Possible” CTA Panel,Heading.,Content would be added from CMS,2,1,,"Maybe we can reword the Take Action Now button and make it the something like Get Involved now that would open up a
contact form like on the home screen? Because the Take Action tab would be primarily a tool for visitors to use the online tool in contacting
their MP when what we are wanting is for them to get involved."
,,,,Supporting description.,,,,,
,,,,Action list items.,,,,,
,,,,"CTA button, user would be redirected to Take Action page.",,,,,
,,,,,,,,,
,,,,,,,,,
,,Stories,,,,,,,
,,,Hero Banner,Large full-width banner image/background.,Content would be added from CMS,1,1,,
,,,,Main heading text.,,,,,
,,,,Supporting description text.,,,,,
,,,List of Story Section,Display stories in responsive card layout. Each Story Card Components would consist:,"Add/edit/delete stories.
Reorder list item dynamically.
Save draft/publish functionality.
Schedule story publishing.",4,3,,
,,,,Featured image.,,,,,
,,,,Story category label.,,,,,
,,,,Story title.,,,,,
,,,,Short excerpt/preview text.,,,,,
,,,,Publish date.,,,,,
,,,,Estimated reading time.,,,,,
,,,,“Read Story” CTA link.,,,,,
,,,     Pagination / Infinite Scroll,Pagination / Infinite scrolling support.,,,,,
,,,     Story Category Filter,Category-based filtering option would be provided to user to filter the story. ,"Add/edit/delete story categories.
Enable/disable categories.",2,2,,
,,,     Search Functionality,"User can search story by:
Title
Keywords
Tags
Category",,1,1,,
,,,Individual Story Detail Page,"When user clicks upon Read Story, user would be redirected to detailed page of the story consisting following information.",,3,2,,"We are going to need to work closely on the design. But I would also want functionality for adding images, adding embedded videos ie
YouTube and also embedding images with URLs so people can click / tap the image and it will take you to the URL in question. 
Also, need to be able to add general URLs. So if in a story we are cross referencing something else, we can link it."
,,,,Large banner image.,,,,,
,,,,Featured image.,,,,,
,,,,Story category label.,,,,,
,,,,Story title.,,,,,
,,,,Author name.,,,,,
,,,,Publish date.,,,,,"We need to be able to schedule date and time article goes live,"
,,,,Estimated reading time.,,,,,
,,,,Full article/story content.,,,,,
,,,     Social Sharing,User can copy the story link and would have share option to:,,6,1,,
,,,,Facebook,,,,,
,,,,Twitter/X,,,,,
,,,,LinkedIn,,,,,
,,,,Email,,,,,
,,,“Your Story Could Save A Life” CTA Section,This section would encourage users to share their stories.,Story Submission CMS Module,18,6,,
,,,,Background image.,"List of all the stories submitted from the website would be shown here with pagination, searching and sorting functionality.",,,,
,,,,Main heading.,Admin will receive an email for each story submission.,,,,
,,,,Supporting description.,,,,,
,,,,CTA buttons: Share Your Story,,,,,Would this populate some sort ot contact form?
,,,,Supportive quote block.,,,,,
,,,     Story Submission System,Users can submit personal stories by providing following information.,,,,,
,,,,Name (optional anonymous mode).,,,,,
,,,,Email.,,,,,
,,,,Story title.,,,,,
,,,,Story content.,,,,,
,,,          File Upload Support,Upload images/documents.,,,,,
,,,,Consent checkbox.,,,,,
,,,,,,,,,
,,,,,,,,,
,,News,,,,,,,
,,,Hero Banner,Large full-width banner image/background.,Content would be added from CMS,1,2,,
,,,,Main heading text.,,,,,
,,,,Supporting description text.,,,,,
,,,List of News Section,Display News in responsive card layout. Each News Card Components would consist:,"Add/edit/delete news.
Reorder list item dynamically.
Save draft/publish functionality.
Schedule news for publishing.
User can send the news published via newsletter to all the subscribed users.",5,3,,
,,,,Featured image.,,,,,
,,,,News category label.,,,,,
,,,,Story title.,,,,,
,,,,Short excerpt/preview text.,,,,,
,,,,Publish date.,,,,,
,,,,Estimated reading time.,,,,,
,,,,“Read Story” CTA link.,,,,,
,,,     Pagination / Infinite Scroll,Pagination / Infinite scrolling support.,,,,,
,,,     Story Category Filter,Category-based filtering option would be provided to user to filter the news. ,"Add/edit/delete news categories.
Enable/disable categories.",2,2,,
,,,     Search Functionality,"User can search story by:
Title
Keywords
Tags
Category",,1,1,,
